 ,Label,Area,Mean,StdDev,IntDen,RawIntDen,,
93,Gfap,790070,44,22,34553145,41909784,,
94,Pdgfr,477576,46,24,21800793,26442355,,
95,Gfap,1439629,45,24,64350724,78051504,,
96,Pdgfr,1050141,54,36,56751744,68834641,,
97,Gfap,630846,38,16,24147135,29288252,,
98,Pdgfr,1210625,50,31,60949456,73926080,,
81,Gfap,835833,42,19,34735151,42130541,,
82,Pdgfr,773663,47,25,35977240,43637080,,
83,Gfap,675368,44,22,29728748,36058235,,
84,Pdgfr,1343950,55,39,74478944,90336103,,
85,Gfap,1460502,48,26,70425858,85420083,,
86,Pdgfr,913425,56,39,51016428,61878231,,
87,Gfap,1382393,45,24,62529253,75842228,,
88,Pdgfr,1006835,52,33,52154677,63258822,,
89,Gfap,1797427,53,33,94906331,115112643,,
90,Pdgfr,843202,57,39,47645596,57789722,,
91,Gfap,1396881,51,30,71683616,86945627,,
92,Pdgfr,1826966,59,40,107765676,130709845,,
1,Gfap,1452877,51,31,74774737,90694873,,
2,Pdgfr,1990107,57,41,113078199,137153446,,
3,Gfap,1787792,53,31,94230422,114292827,,
4,Pdgfr,2070815,59,40,121746041,147666741,,
5,Gfap,866696,44,22,38266486,46413725,,
6,Pdgfr,1810085,64,43,115218438,139749359,,
7,Gfap,1609787,54,35,86422822,104822928,,
8,Pdgfr,1706785,61,41,104735800,127034884,,
9,Gfap,1120346,58,42,65411408,79338016,,
10,Pdgfr,1573621,94,73,148119034,179654753,,
11,Gfap,1552943,51,32,78980634,95796238,,
12,Pdgfr,990494,64,50,63886590,77488553,,
13,Gfap,1387734,55,37,76663926,92986285,,
14,Pdgfr,1176646,74,53,86927708,105435308,,
15,Gfap,565929,51,32,28812870,34947359,,
16,Pdgfr,1770841,71,49,126100373,152948144,,
17,Gfap,299370,43,23,12861461,15599768,,
18,Pdgfr,555242,63,49,34795278,42203469,,
19,Gfap,811258,51,34,41676022,50549178,,
20,Pdgfr,1369165,67,54,91068251,110457405,,
21,Gfap,679592,50,31,33655554,40821089,,
22,Pdgfr,1679578,94,70,158162989,191837146,,
23,Gfap,822030,49,33,40208791,48769562,,
24,Pdgfr,1854619,72,51,134450368,163075919,,
25,Gfap,1338112,51,32,67829132,82270493,,
26,Pdgfr,1101410,72,58,79792373,96780803,,
27,Gfap,1428618,54,36,76742201,93081225,,
28,Pdgfr,1232274,66,50,80847340,98060381,,
29,Gfap,1765582,52,31,92043771,111640621,,
30,Pdgfr,2211974,61,41,133908974,162419258,,
31,Gfap,1019126,46,25,47221441,57275261,,
32,Pdgfr,1203433,57,39,68486385,83067680,,
33,Gfap,2202593,57,35,124498104,151004740,,
34,Pdgfr,1736075,56,39,97994912,118858807,,
35,Gfap,1121633,48,26,54219412,65763156,,
36,Pdgfr,1754247,62,44,109311808,132585161,,
37,Gfap,1649401,52,31,85384966,103564104,,
38,Pdgfr,861609,55,38,47757715,57925712,,
39,Gfap,1809454,60,42,107783661,130731659,,
40,Pdgfr,2029988,50,31,100636623,122062960,,
41,Gfap,1261385,48,27,60347466,73195921,,
42,Pdgfr,1817274,52,33,94153048,114198980,,
43,Gfap,1709549,51,32,87125123,105674754,,
44,Pdgfr,1435613,48,29,68867827,83530335,,
45,Gfap,1343361,46,24,61359249,74423121,,
46,Pdgfr,1080632,45,25,48243627,58515078,,
47,Gfap,2284554,52,32,119527073,144975336,,
48,Pdgfr,1850957,49,30,91023675,110403338,,
49,Gfap,949338,46,25,43785518,53107803,,
50,Pdgfr,964597,46,26,44063270,53444690,,
51,Gfap,156052,49,32,7595568,9212725,,
52,Pdgfr,455496,51,33,23407736,28391429,,
53,Gfap,209487,46,28,9716228,11784890,,
54,Pdgfr,367166,50,31,18426464,22349605,,
55,Gfap,169693,49,35,8307353,10076055,,
56,Pdgfr,429907,50,31,21548425,26136256,,
57,Gfap,207920,47,29,9711275,11778883,,
58,Pdgfr,483278,52,34,25052074,30385859,,
59,Gfap,138519,44,26,6052255,7340828,,
60,Pdgfr,551015,53,35,29198773,35415424,,
61,Gfap,873093,47,27,41055999,49797147,,
62,Pdgfr,433487,44,21,18921458,22949987,,
63,Gfap,801741,41,21,33236344,40312626,,
64,Pdgfr,127463,40,17,5142342,6237187,,
65,Gfap,748067,45,24,33301309,40391422,,
66,Pdgfr,260336,44,21,11358338,13776618,,
67,Gfap,972844,44,24,42979738,52130466,,
68,Pdgfr,113949,41,18,4679194,5675432,,
69,Gfap,558389,42,21,23626756,28657080,,
70,Pdgfr,455340,42,18,19083216,23146184,,
71,Gfap,880472,43,23,38280615,46430862,,
72,Pdgfr,341407,42,19,14389241,17452825,,
73,Gfap,719116,43,22,30871056,37443749,,
74,Pdgfr,576135,44,22,25538903,30976338,,
75,Gfap,975964,46,27,45158566,54773183,,
76,Pdgfr,755810,42,20,31787172,38554914,,
77,Gfap,140924,49,29,6875412,8339242,,
78,Pdgfr,377830,45,24,17177950,20835272,,
79,Gfap,58504,43,23,2512533,3047471,,
80,Pdgfr,175547,45,22,7950776,9643559,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 
