"Klf4","Pdgfrb","Coloc","MouseID","DPI","Condition","Region"
52,10,2,"Td05","7D","MCAO","Contra"
101,48,10,"Td05","7D","MCAO","Ipsi"
49,13,1,"Td05","7D","MCAO","Peri"
28,8,1,"Td08","7D","MCAO","Contra"
62,30,8,"Td08","7D","MCAO","Ipsi"
43,28,3,"Td08","7D","MCAO","Peri"
63,15,4,"Td09","7D","MCAO","Contra"
48,31,12,"Td09","7D","MCAO","Ipsi"
69,18,2,"Td09","7D","MCAO","Peri"
37,7,0,"Td10","7D","MCAO","Contra"
162,61,19,"Td10","7D","MCAO","Ipsi"
52,16,1,"Td11","7D","MCAO","Contra"
26,53,7,"Td11","7D","MCAO","Ipsi"
39,17,2,"Td11","7D","MCAO","Peri"
50,17,4,"Td20","14D","MCAO","Contra"
92,42,12,"Td20","14D","MCAO","Ipsi"
43,21,7,"Td21","14D","MCAO","Contra"
123,54,9,"Td21","14D","MCAO","Ipsi"
78,33,8,"Td21","14D","MCAO","Peri"
43,60,5,"Td22","14D","MCAO","Ipsi"
47,38,8,"Td23","7D","MCAO","Ipsi"
80,17,7,"Td23","7D","MCAO","Peri"
47,25,5,"Td26","14D","MCAO","Contra"
51,30,2,"Td26","14D","MCAO","Ipsi"
58,22,7,"Td26","14D","MCAO","Peri"
62,21,6,"Td43","30D","MCAO","Contra"
45,73,9,"Td43","30D","MCAO","Ipsi"
43,17,4,"Td43","30D","MCAO","Peri"
70,23,4,"Td47","30D","MCAO","Contra"
68,86,18,"Td47","30D","MCAO","Ipsi"
52,19,6,"Td47","30D","MCAO","Peri"
65,14,2,"Td48","30D","MCAO","Contra"
46,58,9,"Td48","30D","MCAO","Ipsi"
36,37,4,"Td48","30D","MCAO","Peri"
55,12,3,"Td49","30D","MCAO","Contra"
134,195,42,"Td49","30D","MCAO","Ipsi"
65,31,7,"Td49","30D","MCAO","Peri"
39,8,1,"Td51","30D","MCAO","Contra"
48,31,10,"Td51","30D","MCAO","Ipsi"
44,13,6,"Td52","30D","MCAO","Contra"
71,127,29,"Td52","30D","MCAO","Ipsi"
37,18,3,"Td52","30D","MCAO","Peri"
38,12,2,"Td53","14D","MCAO","Contra"
123,83,25,"Td53","14D","MCAO","Ipsi"
35,17,3,"Td55","14D","MCAO","Contra"
111,84,19,"Td55","14D","MCAO","Ipsi"
27,13,7,"Td56","14D","MCAO","Contra"
100,83,14,"Td56","14D","MCAO","Ipsi"
60,25,6,"Td56","14D","MCAO","Peri"
31,11,2,"Td57","14D","MCAO","Contra"
81,61,18,"Td57","14D","MCAO","Ipsi"
59,43,15,"Td57","14D","MCAO","Peri"
63,22,3,"Td59","7D","MCAO","Contra"
56,56,10,"Td59","7D","MCAO","Ipsi"
44,22,10,"Td59","7D","MCAO","Peri"
57,13,3,"Td60","7D","MCAO","Contra"
63,79,24,"Td60","7D","MCAO","Ipsi"
48,21,4,"Td60","7D","MCAO","Peri"
50,13,2,"Td62","7D","MCAO","Contra"
86,97,21,"Td62","7D","MCAO","Ipsi"
50,29,6,"Td62","7D","MCAO","Peri"
42,14,2,"Td63","7D","MCAO","Contra"
37,30,10,"Td63","7D","MCAO","Ipsi"
52,17,5,"Td63","7D","MCAO","Peri"
73,22,7,"Td65","0D","Sham","Contra"
38,15,4,"Td66","0D","Sham","Contra"
48,20,3,"Td67","0D","Sham","Contra"
68,22,5,"Td68","0D","Sham","Contra"
39,26,3,"Td69","0D","Sham","Contra"
