"MouseID","DPI2","Intensity"
"Td012","7D",2774
"Td014","7D",3618
"Td016","7D",3574
"Td018","7D",3916
"Td020","14D",2864
"Td021","14D",4707
"Td022","14D",5257
"Td023","7D",3172
"Td025","14D",7773
"Td026","14D",7766
"Td027","14D",8365
"Td028","14D",4788
"Td033","30D",6682
"Td036","30D",4283
"Td039","30D",4695
"Td040","30D",3933
"Td043","30D",4218
"Td045","30D",3814
"Td046","30D",4575
"Td047","30D",5479
"Td048","30D",5887
"Td049","30D",5382
"Td050","30D",5439
"Td052","30D",4975
"Td053","14D",10013
"Td055","14D",6311
"Td056","14D",7092
"Td057","14D",3584
"Td058","14D",5289
"Td059","7D",3700
"Td060","7D",4724
"Td061","7D",5530
"Td062","7D",4597
"Td063","7D",4690
"Td064","7D",4981
"Td065","0D",4883
"Td066","0D",4877
"Td068","0D",5517
"Td069","0D",5465
"Td071","3D",4467
"Td072","3D",3065
"Td073","3D",3196
"Td074","3D",2878
"Td075","3D",3155
"Td076","3D",3192
"Td077","3D",2732
"Td078","3D",3340
"Td079","3D",3457
"Td080","0D",6340
"Td081","0D",3930
"Td082","0D",5141
"Td083","0D",5390
"Td083","0D",5390
