MouseID,DPI,Condition,Lesion,Area,Colocalization,Ratio
Td12,7,MCAO,L1,19762677,143188,0.007245375
Td14,7,MCAO,L1,22123407,391536,0.017697817
Td16,7,MCAO,L1,19425430,876604,0.04512662
Td18,7,MCAO,L1,21516362,488099,0.022685015
Td20,14,MCAO,L1,13369675,1180088,0.08826602
Td21,14,MCAO,L1,12883505,687940,0.05339696
Td22,14,MCAO,L1,16592555,501353,0.030215539
Td23,7,MCAO,L1,16772865,709237,0.042284786
Td25,14,MCAO,L1,10209570,1471395,0.144119194
Td26,14,MCAO,L1,15375126,1800053,0.117075658
Td27,14,MCAO,L1,15715713,1259812,0.080162574
Td28,14,MCAO,L1,12640420,1386613,0.109696751
Td33,30,MCAO,L1,13430446,965366,0.071878923
Td36,30,MCAO,L1,10414189,838221,0.080488361
Td39,30,MCAO,L1,9249919,1119583,0.12103706
Td40,30,MCAO,L1,12336564,898092,0.072799201
Td43,30,MCAO,L1,12518878,1170041,0.09346213
Td45,30,MCAO,L1,11303453,690168,0.061058156
Td46,30,MCAO,L1,12640420,669874,0.0529946
Td47,30,MCAO,L1,11121139,1126311,0.101276587
Td48,30,MCAO,L1,11359549,752894,0.066278512
Td49,30,MCAO,L1,11364224,467936,0.041176239
Td50,30,MCAO,L1,11728851,728877,0.062143939
Td52,30,MCAO,L1,11728851,953404,0.081287076
Td53,14,MCAO,L1,14206137,1858852,0.13084852
Td55,14,MCAO,L1,13187361,910177,0.069018889
Td56,14,MCAO,L1,15138586,1063537,0.070253391
Td57,14,MCAO,L1,11003826,992261,0.090174181
Td58,14,MCAO,L1,17132150,578087,0.033742817
Td59,7,MCAO,L1,19155633,1542397,0.080519239
Td60,7,MCAO,L1,19088183,1056053,0.055324962
Td61,7,MCAO,L1,19155633,1129663,0.058972888
Td62,7,MCAO,L1,19113427,927904,0.048547233
Td63,7,MCAO,L1,17671746,836857,0.047355649
Td64,7,MCAO,L1,19690301,773469,0.039281726
Td65,0,SHAM,L0,19079234,81477,0.004270454
Td66,0,SHAM,L0,20324756,81074,0.003988929
Td67,0,SHAM,L0,19749781,54409,0.002754917
Td68,0,SHAM,L0,20540712,72884,0.00354827
Td69,0,SHAM,L0,20909317,38434,0.001838128
Td71,3,MCAO,L1,21678790,188826,0.008710172
Td72,3,MCAO,L1,21179115,52706,0.002488584
Td73,3,MCAO,L1,21092299,70936,0.003363123
Td73,3,MCAO,L1,17367489,23794,0.001370031
Td75,3,MCAO,L1,23068767,19967,0.000865543
Td76,3,MCAO,L1,22608706,175126,0.007745954
Td77,3,MCAO,L1,21246564,59914,0.002819938
Td78,3,MCAO,L1,24349237,131564,0.005403208
Td79,3,MCAO,L1,28058955,177670,0.006332025
Td80,0,SHAM,L0,20103575,58238,0.002896898
Td81,0,SHAM,L0,19749187,28324,0.001434186
Td93,14,MCAO,L2,20716304,270552,0.013059859
Td94,14,MCAO,L2,20257677,210585,0.010395318
Td95,14,MCAO,L2,18083862,728538,0.040286638
Td102,30,MCAO,L2,17681392,330276,0.018679299
Td103,30,MCAO,L2,18068784,362452,0.020059568
Td104,30,MCAO,L2,20083392,294935,0.014685517
Td105,30,MCAO,L2,19488472,145847,0.007483758
Td106,30,MCAO,L2,19897576,214795,0.010795034
Td107,30,MCAO,L2,14839998,1068401,0.071994686
Td108,30,MCAO,L2,18928219,134746,0.007118789
Td109,30,MCAO,L2,16608850,989961,0.059604428
Td110,30,MCAO,L2,18713806,485649,0.025951375
Td111,30,MCAO,L2,19879545,1144741,0.057583863
Td112,7,MCAO,L2,20615270,1419187,0.068841543
Td113,7,MCAO,L2,18482059,538582,0.029140801
Td114,14,MCAO,L2,16193320,264956,0.016362055
