"MouseID","DPI","Condition","PdgfrbHigh_Intensity","PdgfrbLow_Intensity","Gfap_Intensity","Tissue_Area","Gfap_Num","Pdgfrb_Total","Pdgfrb_NonReact","Pdgfrb_React","Pdgfrb_PercPositive"
"Td102",30,"MCAO",38.7981651110673,76.5020230010533,133.903410870504,11.417665,2692,60,39,21,35
"Td103",30,"MCAO",64.1480018438115,67.0860782641387,212.520861070337,11.697956,4343,2320,1511,809,34.87
"Td104",30,"MCAO",43.3983034833423,71.077536413663,114.817558822071,12.498307,2701,58,38,20,34.48
"Td105",30,"MCAO",18.4541769122662,56.73515546581,94.7873632311853,11.751988,2491,2684,1357,1327,49.44
"Td106",30,"MCAO",32.6635229222845,55.1407410157123,138.735788082281,10.836819,3301,87,71,16,18.39
"Td107",30,"MCAO",127.807418130916,72.2389754653001,298.296129458187,10.174926,5051,2681,1680,1001,37.34
"Td108",30,"MCAO",15.5777408638621,50.1705644723447,131.569745606047,12.376735,3600,272,235,37,13.6
"Td109",30,"MCAO",83.5067219195559,69.4123132706968,245.221515890675,10.654461,4629,1971,1478,493,25.01
"Td110",30,"MCAO",69.8084560832568,56.8385789967501,210.951236142301,11.069833,4423,285,215,70,24.56
"Td111",30,"MCAO",29.9035594169582,50.5326815654684,221.28633968549,11.444681,5115,2088,1310,778,37.26
"Td114",14,"MCAO",11.2964449315052,38.9568988759385,445.945639165215,11.225175,8456,14,4,10,71.43
"Td93",14,"MCAO",33.9445527312736,66.7010461169525,172.353466493042,13.389837,4063,3390,1206,2184,64.42
"Td94",14,"MCAO",23.160537184403,63.3165764753464,172.704293464991,13.393214,4153,155,131,24,15.48
"Td95",14,"MCAO",48.7028899117135,70.8489209847756,171.562821632394,12.434144,3736,1804,1337,467,25.89
"Td102",30,"MCAO",38.7981651110673,76.5020230010533,133.903410870504,11.417665,2692,49,36,13,26.53
"Td103",30,"MCAO",64.1480018438115,67.0860782641387,212.520861070337,11.697956,4343,2888,1319,1569,54.33
"Td104",30,"MCAO",43.3983034833423,71.077536413663,114.817558822071,12.498307,2701,2655,1205,1450,54.61
"Td105",30,"MCAO",18.4541769122662,56.73515546581,94.7873632311853,11.751988,2491,54,32,22,40.74
"Td106",30,"MCAO",32.6635229222845,55.1407410157123,138.735788082281,10.836819,3301,80,56,24,30
"Td107",30,"MCAO",127.807418130916,72.2389754653001,298.296129458187,10.174926,5051,1856,1148,708,38.15
"Td108",30,"MCAO",15.5777408638621,50.1705644723447,131.569745606047,12.376735,3600,5,4,1,20
"Td109",30,"MCAO",83.5067219195559,69.4123132706968,245.221515890675,10.654461,4629,952,744,208,21.85
"Td110",30,"MCAO",69.8084560832568,56.8385789967501,210.951236142301,11.069833,4423,71,58,13,18.31
"Td111",30,"MCAO",29.9035594169582,50.5326815654684,221.28633968549,11.444681,5115,2377,1603,774,32.56
"Td114",14,"MCAO",11.2964449315052,38.9568988759385,445.945639165215,11.225175,8456,80,61,19,23.75
"Td93",14,"MCAO",33.9445527312736,66.7010461169525,172.353466493042,13.389837,4063,2077,1532,545,26.24
"Td94",14,"MCAO",23.160537184403,63.3165764753464,172.704293464991,13.393214,4153,50,35,15,30
"Td95",14,"MCAO",48.7028899117135,70.8489209847756,171.562821632394,12.434144,3736,2605,1549,1056,40.54
