Mouse,DPI,Condition,Area_Contra,Area_Ipsi,Missing,Area_Healthy,Hem_Ratio,Healthy_Ratio
Td12,7,MCAO,22042787,20396823,0,16280348,92.53286801,73.8579382
Td14,7,MCAO,22629082,22318936,0,12948617,98.62943623,57.22113252
Td16,7,MCAO,22428416,20313505,0,12446216,90.57039516,55.49306737
Td18,7,MCAO,19867960,20848177,0,15015321,104.933657,75.57555481
Td20,14,MCAO,21200878,14248343,0,11887971,67.20638174,56.07301264
Td21,14,MCAO,21560667,13384371,0,11944438,62.07772236,55.39920449
Td22,14,MCAO,20948633,15831333,0,15585191,75.57215309,74.39717427
Td23,7,MCAO,20647076,17562048,0,11484600,85.05828138,55.62337253
Td25,14,MCAO,21904686,13772393,0,13597705,62.87418592,62.07669446
Td26,14,MCAO,21423139,14222952,0,11643565,66.3906069,54.35041522
Td27,14,MCAO,22477413,17728434,0,15452627,78.87221719,68.7473554
Td28,14,MCAO,22011286,13416602,0,12097155,60.95328551,54.95887428
Td33,30,MCAO,24413964,17116288,0,16279181,70.10859851,66.6797944
Td36,30,MCAO,22482313,9260187,1,8380311,41.1887647,37.27512823
Td39,30,MCAO,21562347,11494361,0,11254782,53.3075597,52.1964608
Td43,30,MCAO,22547968,13156098,0,12659081,58.34715572,56.14289057
Td45,30,MCAO,21025573,12681857,0,12473156,60.31634429,59.32373876
Td46,30,MCAO,24273085,14685317,0,14469819,60.50041435,59.61260796
Td48,30,MCAO,24394823,12961857,0,12705012,53.13363823,52.0807714
Td49,30,MCAO,23635790,11878328,0,10729868,50.25568428,45.39669713
Td50,30,MCAO,21943837,15722034,0,15202755,71.64669515,69.28029496
Td52,30,MCAO,20658884,13738224,0,13717938,66.50032015,66.40212511
Td53,14,MCAO,20091902,15480587,0,12688539,77.04888766,63.15250293
Td56,14,MCAO,21601273,16135938,0,14120724,74.69901427,65.36986964
Td58,14,MCAO,20137513,17361019,0,15184725,86.2123292,75.40516547
Td59,7,MCAO,18574839,18636839,0,12025778,100.3337849,64.74230005
Td60,7,MCAO,23037619,20212703,0,13632995,87.73781266,59.17710072
Td61,7,MCAO,20459018,19172326,0,12752115,93.71088094,62.33004438
Td62,7,MCAO,23258115,20567509,0,12192896,88.43153884,52.42426568
Td63,7,MCAO,22866273,22202944,0,13799573,97.09909437,60.34902583
Td64,7,MCAO,22558564,18927600,0,12315353,83.90427689,54.59280564
Td65,0,SHAM,20373703,21838706,0,0,107.1906565,0
Td66,0,SHAM,24624535,21473449,0,0,87.20347004,0
Td67,0,SHAM,21271506,21859179,0,0,102.762724,0
Td68,0,SHAM,21371173,20787251,0,0,97.26771198,0
Td69,0,SHAM,22297887,20978385,0,0,94.08238996,0
Td71,3,MCAO,19227176,20500749,0,10480723,106.6238172,54.50994467
Td72,3,MCAO,21910117,15025471,1,10481074,68.57777619,47.83668659
Td73,3,MCAO,18405048,20646695,0,13125232,112.1795227,71.31321798
Td75,3,MCAO,19459915,25063082,0,12423688,128.7933786,63.84245769
Td76,3,MCAO,19909089,21992965,0,10553005,110.4669581,53.00596627
Td77,3,MCAO,19252856,21362038,1,12366419,110.9551643,64.23160803
Td79,3,MCAO,22458583,24441658,0,11650807,108.8299204,51.87685706
Td80,0,SHAM,19916420,21421980,0,0,107.5593907,0
Td81,0,SHAM,18355511,18531114,0,0,100.9566773,0
